time,delta,target,curr_key,curr_input,status
2020-05-24 00:53:24.176456,0,crew,c,c,True
2020-05-24 00:53:24.368631,192175,crew,r,cr,True
2020-05-24 00:53:24.428685,60054,crew,e,cre,True
2020-05-24 00:53:24.589831,161146,crew,w,crew,True
2020-05-24 00:53:24.741970,152139,crew,space,crew,correct
2020-05-24 00:53:25.133324,391354,feed,f,f,True
2020-05-24 00:53:25.284461,151137,feed,e,fe,True
2020-05-24 00:53:25.439603,155142,feed,e,fee,True
2020-05-24 00:53:25.768901,329298,feed,space,fee,incorrect
2020-05-24 00:53:25.964078,195177,deer,d,d,True
2020-05-24 00:53:26.166261,202183,deer,e,de,True
2020-05-24 00:53:26.216306,50045,deer,a,dea,False
2020-05-24 00:53:26.668717,452411,deer,backspace,de,True
2020-05-24 00:53:26.858890,190173,deer,e,dee,True
2020-05-24 00:53:27.002019,143129,deer,a,deea,False
2020-05-24 00:53:27.400381,398362,deer,backspace,dee,True
2020-05-24 00:53:27.500472,100091,deer,r,deer,True
2020-05-24 00:53:27.898832,398360,deer,space,deer,correct
2020-05-24 00:53:28.128288,229456,reader,r,r,True
2020-05-24 00:53:28.175083,46795,reader,e,re,True
2020-05-24 00:53:28.317212,142129,reader,a,rea,True
2020-05-24 00:53:28.363254,46042,reader,d,read,True
2020-05-24 00:53:28.643509,280255,reader,e,reade,True
2020-05-24 00:53:28.689550,46041,reader,r,reader,True
2020-05-24 00:53:28.889270,199720,reader,space,reader,correct
2020-05-24 00:53:29.177531,288261,grass,g,g,True
2020-05-24 00:53:29.226576,49045,grass,r,gr,True
2020-05-24 00:53:29.412745,186169,grass,a,gra,True
2020-05-24 00:53:29.647958,235213,grass,s,gras,True
2020-05-24 00:53:29.788085,140127,grass,s,grass,True
2020-05-24 00:53:29.933217,145132,grass,space,grass,correct
2020-05-24 00:53:30.326574,393357,gas,a,a,False
2020-05-24 00:53:30.663445,336871,gas,backspace,,True
2020-05-24 00:53:31.298020,634575,gas,g,g,True
2020-05-24 00:53:31.350068,52048,gas,a,ga,True
2020-05-24 00:53:31.350068,0,gas,s,gas,True
2020-05-24 00:53:31.622314,272246,gas,space,gas,correct
2020-05-24 00:53:32.107755,485441,exceed,e,e,True
2020-05-24 00:53:32.802385,694630,exceed,space,e,incorrect
2020-05-24 00:53:33.367898,565513,as,a,a,True
2020-05-24 00:53:33.497015,129117,as,s,as,True
2020-05-24 00:53:33.725222,228207,as,space,as,correct
2020-05-24 00:53:34.055522,330300,target,t,t,True
2020-05-24 00:53:34.217669,162147,target,a,ta,True
2020-05-24 00:53:34.270717,53048,target,r,tar,True
2020-05-24 00:53:34.429861,159144,target,g,targ,True
2020-05-24 00:53:34.592008,162147,target,e,targe,True
2020-05-24 00:53:34.645056,53048,target,t,target,True
2020-05-24 00:53:34.867258,222202,target,space,target,correct
2020-05-24 00:53:35.155521,288263,tree,t,t,True
2020-05-24 00:53:35.210569,55048,tree,r,tr,True
2020-05-24 00:53:35.424763,214194,tree,e,tre,True
2020-05-24 00:53:35.535864,111101,tree,e,tree,True
2020-05-24 00:53:35.750060,214196,tree,space,tree,correct
