time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:15:16.239938,reading,down,a,[' '],a
2020-06-03 14:15:16.268965,reading,down,s,[' '],as
2020-06-03 14:15:16.319011,reading,down,d,[' '],asd
2020-06-03 14:15:16.349038,reading,up,a,[' '],asd
2020-06-03 14:15:16.369635,reading,up,s,[' '],asd
2020-06-03 14:15:16.449129,reading,up,d,[' '],asd
2020-06-03 14:15:16.609780,reading,down,enter,[' '],asd
2020-06-03 14:15:16.688852,reading,up,enter,[' '],asd
2020-06-03 14:15:17.639245,reading,down, ,[' '],asd
2020-06-03 14:15:18.179775,bury,down,a,[' '],a
2020-06-03 14:15:18.188783,bury,down,s,[' '],as
2020-06-03 14:15:18.218810,bury,down,d,[' '],asd
2020-06-03 14:15:18.258847,bury,up,a,[' '],asd
2020-06-03 14:15:18.278865,bury,up,s,[' '],asd
2020-06-03 14:15:18.318902,bury,up,d,[' '],asd
2020-06-03 14:15:18.469038,bury,down, ,[' '],asd
2020-06-03 14:15:18.948996,urge,down,a,[' '],a
2020-06-03 14:15:18.979023,urge,down,s,[' '],as
2020-06-03 14:15:19.019060,urge,down,d,[' '],asd
2020-06-03 14:15:19.059096,urge,up,a,[' '],asd
2020-06-03 14:15:19.099133,urge,up,s,[' '],asd
2020-06-03 14:15:19.159187,urge,up,d,[' '],asd
2020-06-03 14:15:19.730213,urge,down,a,[' '],asda
2020-06-03 14:15:19.759246,urge,down,s,[' '],asdas
2020-06-03 14:15:19.818300,urge,down,d,[' '],asdasd
2020-06-03 14:15:19.830311,urge,up,a,[' '],asdasd
2020-06-03 14:15:19.849329,urge,up,s,[' '],asdasd
2020-06-03 14:15:19.910384,urge,up,d,[' '],asdasd
2020-06-03 14:15:20.128597,urge,down, ,[' '],asdasd
2020-06-03 14:15:20.798723,dry,down,a,[' '],a
2020-06-03 14:15:20.820742,dry,down,s,[' '],as
2020-06-03 14:15:20.849769,dry,down,d,[' '],asd
2020-06-03 14:15:20.878795,dry,up,a,[' '],asd
2020-06-03 14:15:20.900815,dry,up,s,[' '],asd
2020-06-03 14:15:20.929841,dry,up,d,[' '],asd
2020-06-03 14:15:21.029932,dry,down,a,[' '],asda
2020-06-03 14:15:21.079978,dry,down,s,[' '],asdas
2020-06-03 14:15:21.109005,dry,down,d,[' '],asdasd
2020-06-03 14:15:21.139032,dry,up,a,[' '],asdasd
2020-06-03 14:15:21.169059,dry,up,s,[' '],asdasd
2020-06-03 14:15:21.209095,dry,up,d,[' '],asdasd
2020-06-03 14:15:21.528414,dry,down, ,[' '],asdasd
2020-06-03 14:15:21.989861,ad,down,a,[' '],a
2020-06-03 14:15:22.029898,ad,down,s,[' '],as
2020-06-03 14:15:22.078942,ad,down,d,[' '],asd
2020-06-03 14:15:22.098960,ad,up,a,[' '],asd
2020-06-03 14:15:22.110971,ad,up,s,[' '],asd
2020-06-03 14:15:22.159015,ad,up,d,[' '],asd
2020-06-03 14:15:22.271117,ad,down,a,[' '],asda
2020-06-03 14:15:22.288132,ad,down,s,[' '],asdas
2020-06-03 14:15:22.328347,ad,down,d,[' '],asdasd
2020-06-03 14:15:22.360198,ad,up,a,[' '],asdasd
2020-06-03 14:15:22.380216,ad,up,s,[' '],asdasd
2020-06-03 14:15:22.429261,ad,up,d,[' '],asdasd
2020-06-03 14:15:22.638971,ad,down, ,[' '],asdasd
2020-06-03 14:15:22.968794,reflect,down,a,[' '],a
2020-06-03 14:15:23.000823,reflect,down,s,[' '],as
2020-06-03 14:15:23.049868,reflect,down,d,[' '],asd
2020-06-03 14:15:23.078895,reflect,up,a,[' '],asd
2020-06-03 14:15:23.100915,reflect,up,s,[' '],asd
2020-06-03 14:15:23.120933,reflect,up,d,[' '],asd
2020-06-03 14:15:23.241043,reflect,down,a,[' '],asda
2020-06-03 14:15:23.260059,reflect,down,s,[' '],asdas
2020-06-03 14:15:23.321115,reflect,down,d,[' '],asdasd
2020-06-03 14:15:23.341133,reflect,up,a,[' '],asdasd
2020-06-03 14:15:23.379169,reflect,up,s,[' '],asdasd
2020-06-03 14:15:23.421206,reflect,up,d,[' '],asdasd
2020-06-03 14:15:23.469250,reflect,down, ,[' '],asdasd
2020-06-03 14:15:23.769577,rid,down,a,[' '],a
2020-06-03 14:15:23.809613,rid,down,s,[' '],as
2020-06-03 14:15:23.869667,rid,down,d,[' '],asd
2020-06-03 14:15:23.889686,rid,up,a,[' '],asd
2020-06-03 14:15:23.929722,rid,up,s,[' '],asd
2020-06-03 14:15:23.969759,rid,up,d,[' '],asd
2020-06-03 14:15:24.269031,rid,down, ,[' '],asd
2020-06-03 14:15:24.518265,send,down,a,[' '],a
